orig,fm_sketch,hyperloglog,hyperloglog64
980,512,1837,1268
981,512,1837,1268
982,512,1837,1268
983,512,1837,1268
984,512,1837,1268
985,512,1837,1268
986,512,1837,1268
987,512,1837,1268
988,512,1837,1268
989,512,1837,1268
990,512,1837,1268
991,512,1837,1268
992,512,1837,1268
993,512,1837,1268
994,512,1837,1268
995,512,1837,1268
996,512,1837,1268
997,512,1837,1268
998,512,1837,1268
999,512,1837,1268
1000,512,1837,1268
1001,512,1837,1268
1002,512,1837,1268
1003,512,1837,1268
1004,512,1837,1268
1005,512,1837,1268
1006,512,1837,1268
1007,512,1837,1268
1008,512,1837,1268
1009,512,1837,1268
1010,512,1837,1268
1011,512,1837,1268
1012,512,1837,1268
1013,512,1837,1268
1014,512,1837,1268
1015,512,1837,1268
1016,512,1837,1268
1017,512,1837,1268
1018,512,1837,1268
1019,512,1837,1268
1020,512,1837,1268
1021,512,1837,1268
1022,512,1837,1268
1023,512,1837,1268
1024,512,1837,1268
1025,512,1837,1268
1026,512,1837,1268
1027,512,1837,1268
1028,512,1837,1268
1029,512,1837,1268
1030,512,1837,1268
1031,512,1837,1268
1032,512,1837,1268
1033,512,1837,1268
1034,512,1837,1268
1035,512,1837,1268
1036,512,1837,1268
1037,512,1837,1268
1038,512,1837,1268
1039,512,1837,1268
1040,512,1837,1268
1041,512,1837,1268
1042,512,1837,1268
1043,512,1837,1268
1044,512,1837,1268
1045,512,1837,1268
1046,512,1837,1268
1047,512,1837,1268
1048,512,1837,1268
1049,512,1837,1268
1050,512,1837,1268
1051,512,1837,1268
1052,512,1837,1268
1053,512,1837,1268
1054,512,1837,1268
1055,512,1837,1346
1056,512,1837,1346
1057,512,1837,1346
1058,512,1837,1346
1059,512,1837,1346
1060,512,1837,1346
1061,512,1837,1346
1062,512,1837,1346
1063,512,1837,1346
1064,512,1837,1346
1065,512,1837,1346
1066,512,1837,1346
1067,512,1837,1346
1068,512,1837,1346
1069,512,1837,1346
1070,512,1837,1346
1071,512,1837,1346
1072,512,1837,1346
1073,512,1837,1346
1074,512,1837,1346
1075,512,1837,1346
1076,512,1837,1346
1077,512,1837,1346
1078,512,1837,1346
1079,512,1837,1346
1080,512,1837,1346
1081,512,1837,1346
1082,512,1837,1346
1083,512,1837,1346
1084,512,1837,1346
1085,512,1837,1346
1086,512,1837,1346
1087,512,1837,1346
1088,512,1837,1346
1089,512,1837,1346
1090,512,1837,1346
1091,512,1837,1346
1092,512,1837,1346
1093,512,1837,1346
1094,512,1837,1346
1095,512,1837,1346
1096,512,1837,1346
1097,512,1837,1346
1098,512,1837,1346
1099,512,1837,1346
1100,512,1837,1346
1101,512,1837,1346
1102,512,1837,1346
1103,512,1837,1346
1104,512,1837,1346
1105,512,1837,1346
1106,512,1837,1346
1107,512,1837,1346
1108,512,1837,1346
1109,512,1837,1346
1110,512,1837,1346
1111,512,1837,1346
1112,512,1837,1346
1113,512,1837,1346
1114,512,1837,1346
1115,512,1837,1346
1116,512,1837,1346
1117,512,1837,1346
1118,512,1837,1346
1119,512,1837,1346
1120,512,1837,1346
1121,512,1837,1346
1122,512,1837,1346
1123,512,1837,1346
1124,512,1837,1346
1125,512,1837,1346
1126,512,1837,1346
1127,512,1837,1346
1128,512,1837,1346
1129,512,1837,1346
1130,512,1837,1346
1131,512,1837,1346
1132,512,1837,1346
1133,512,1837,1346
1134,512,1837,1346
1135,512,1837,1346
1136,512,1837,1346
1137,512,1837,1346
1138,512,1837,1346
1139,512,1837,1346
1140,512,1837,1346
1141,512,1837,1346
1142,512,1837,1346
1143,512,1837,1346
1144,512,1837,1346
1145,512,1837,1346
1146,512,1837,1346
1147,512,1837,1346
1148,512,1837,1346
1149,512,1837,1346
1150,512,1837,1346
